species,element,soil_concentration,plant_concentration,bcf,soil_ph,organic_matter_pct,duration_days,source
Hemp,Ca,2100.0,2321.0,1.105238095238095,,,42.0,PhytoremediationDB
Hemp,Mg,320.0,3420.0,10.6875,,,42.0,PhytoremediationDB
Hemp,K,232.0,9907.0,42.70258620689656,,,42.0,PhytoremediationDB
Hemp,Fe,19100.0,1606.0,0.0840837696335078,,,42.0,PhytoremediationDB
Hemp,Mn,156.0,81.0,0.5192307692307693,,,42.0,PhytoremediationDB
Hemp,Zn,54.0,68.0,1.259259259259259,,,42.0,PhytoremediationDB
Hemp,Cd,3.77,3.4,0.9018567639257294,,,42.0,PhytoremediationDB
Hemp,Pb,4082.63,111.5,0.0273108265995204,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,105.5,0.0258411857062726,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,153.6,0.037622806867142,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,156.1,0.0382351572393285,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,138.9,0.034022186678685,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,268.6,0.0657909239877236,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,237.3,0.0581242973279479,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,264.4,0.0647621753624501,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,361.8,0.0886193458628384,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,255.1,0.0624842319779161,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,1461.5,0.3579800275802607,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,909.2,0.2226995833568067,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,1509.7,0.3697861427560175,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,1133.2,0.2775661767047222,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,1617.2,0.3961172087600395,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,,0.06,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,,0.06,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,,0.13,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,,0.16,7.18,5.264,,PhytoremediationDB
Hemp,Pb,4082.63,,0.08,7.18,5.264,,PhytoremediationDB
Hemp,Cd,,,0.69,,,,PhytoremediationDB
Hemp,Cd,,,1.33,,,,PhytoremediationDB
Hemp,Cd,,,1.31,,,,PhytoremediationDB
Hemp,Cd,,,2.0,,,,PhytoremediationDB
Hemp,Cd,,,1.21,,,,PhytoremediationDB
Hemp,Cd,,,1.74,,,,PhytoremediationDB
Hemp,Cd,,,1.25,,,,PhytoremediationDB
Hemp,Cd,,,1.47,,,,PhytoremediationDB
Hemp,Cd,,,1.08,,,,PhytoremediationDB
Hemp,Cd,,,1.22,,,,PhytoremediationDB
Hemp,Cr,,,7.82,,,,PhytoremediationDB
Hemp,Cr,,,12.33,,,,PhytoremediationDB
Hemp,Cr,,,9.03,,,,PhytoremediationDB
Hemp,Cr,,,17.42,,,,PhytoremediationDB
Hemp,Cr,,,9.72,,,,PhytoremediationDB
Hemp,Cr,,,15.01,,,,PhytoremediationDB
Hemp,Cr,,,10.16,,,,PhytoremediationDB
Hemp,Cr,,,16.27,,,,PhytoremediationDB
Hemp,Cr,,,9.8,,,,PhytoremediationDB
Hemp,Cr,,,15.39,,,,PhytoremediationDB
Hemp,Cu,,,0.37,,,,PhytoremediationDB
Hemp,Cu,,,1.75,,,,PhytoremediationDB
Hemp,Cu,,,0.49,,,,PhytoremediationDB
Hemp,Cu,,,1.86,,,,PhytoremediationDB
Hemp,Cu,,,0.3,,,,PhytoremediationDB
Hemp,Cu,,,1.21,,,,PhytoremediationDB
Hemp,Cu,,,0.4,,,,PhytoremediationDB
Hemp,Cu,,,1.46,,,,PhytoremediationDB
Hemp,Cu,,,0.36,,,,PhytoremediationDB
Hemp,Cu,,,1.2,,,,PhytoremediationDB
Hemp,Fe,,,0.02,,,,PhytoremediationDB
Hemp,Fe,,,0.18,,,,PhytoremediationDB
Hemp,Fe,,,0.02,,,,PhytoremediationDB
Hemp,Fe,,,0.13,,,,PhytoremediationDB
Hemp,Fe,,,0.02,,,,PhytoremediationDB
Hemp,Fe,,,0.15,,,,PhytoremediationDB
Hemp,Fe,,,0.02,,,,PhytoremediationDB
Hemp,Fe,,,0.19,,,,PhytoremediationDB
Hemp,Fe,,,0.02,,,,PhytoremediationDB
Hemp,Fe,,,0.16,,,,PhytoremediationDB
Hemp,Mn,,,0.12,,,,PhytoremediationDB
Hemp,Mn,,,0.54,,,,PhytoremediationDB
Hemp,Mn,,,0.15,,,,PhytoremediationDB
Hemp,Mn,,,0.72,,,,PhytoremediationDB
Hemp,Mn,,,0.15,,,,PhytoremediationDB
Hemp,Mn,,,0.7,,,,PhytoremediationDB
Hemp,Mn,,,0.17,,,,PhytoremediationDB
Hemp,Mn,,,0.62,,,,PhytoremediationDB
Hemp,Mn,,,0.15,,,,PhytoremediationDB
Hemp,Mn,,,0.55,,,,PhytoremediationDB
Hemp,Ni,,,0.37,,,,PhytoremediationDB
