,precision,recall,f1-score,support
Citrus sinensis,1.0,1.0,1.0,11.0
Sunflower,0.9746835443037974,0.9289544235924933,0.9512697323266986,746.0
Castorbean,0.9243027888446215,0.9169960474308301,0.9206349206349206,253.0
Hemp,0.8231884057971014,0.9562289562289562,0.8847352024922118,297.0
Bamboo,0.7727272727272727,0.85,0.8095238095238095,40.0
Vitis vinifera,0.7804878048780488,0.810126582278481,0.7950310559006211,79.0
Cichorium intybus,0.6944444444444444,0.78125,0.7352941176470589,32.0
Cynara scolymus,0.7419354838709677,0.71875,0.7301587301587301,32.0
Pyrus communis,0.5945945945945946,0.7857142857142857,0.676923076923077,28.0
Allium fistulosum,0.6,0.6,0.6,15.0
Spinacia oleracea,0.5990783410138248,0.5138339920948617,0.5531914893617021,253.0
Brassica rapa (subsp. Chinensis or Pekinensis),0.538135593220339,0.5313807531380753,0.5347368421052632,239.0
Fragaria,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0
Amaranthus sp.,0.37735849056603776,0.7692307692307693,0.5063291139240507,26.0
Coriandrum sativum,0.4027777777777778,0.58,0.47540983606557374,50.0
Zea mays,0.3404255319148936,0.6956521739130435,0.45714285714285713,23.0
Brassica oleracea,0.5380952380952381,0.3896551724137931,0.452,290.0
Capsicum frutescens,0.32,0.6956521739130435,0.4383561643835616,23.0
Raphanus sativus,0.508,0.37910447761194027,0.4341880341880342,335.0
Capsicum annuum,0.4818181818181818,0.3680555555555556,0.41732283464566927,144.0
Solanum tuberosum,0.6846153846153846,0.29519071310116085,0.41251448435689453,603.0
Cucumis melo,0.2903225806451613,0.6923076923076923,0.4090909090909091,13.0
Lactuca sativa,0.8015267175572519,0.26649746192893403,0.4,788.0
Beta vulgaris,0.3760330578512397,0.33579335793357934,0.35477582846003897,271.0
Ocimum basilicum,0.2564102564102564,0.5555555555555556,0.3508771929824561,18.0
Petroselinum crispum,0.2619047619047619,0.5238095238095238,0.3492063492063492,42.0
Malus domestica,0.26666666666666666,0.32786885245901637,0.29411764705882354,61.0
Mentha spicata,0.22448979591836735,0.36666666666666664,0.27848101265822783,30.0
Ipomoea aquatica,0.22916666666666666,0.3333333333333333,0.2716049382716049,33.0
Pisum sativum,0.18064516129032257,0.5185185185185185,0.2679425837320574,54.0
Allium cepa,0.304635761589404,0.233502538071066,0.26436781609195403,197.0
Solanum melongena,0.2556390977443609,0.2698412698412698,0.2625482625482625,126.0
Solanum lycopersicum,0.6106194690265486,0.15935334872979215,0.25274725274725274,433.0
Vigna unguiculata,0.16363636363636364,0.5294117647058824,0.25,17.0
Abelmoschus esculentus,0.16216216216216217,0.5,0.24489795918367346,12.0
Daucus carota,0.4961832061068702,0.16169154228855723,0.24390243902439024,402.0
Apium graveolens,0.17045454545454544,0.3614457831325301,0.23166023166023167,83.0
Phaseolus vulgaris,0.17114093959731544,0.3541666666666667,0.23076923076923078,144.0
Prunus persica,0.15384615384615385,0.45454545454545453,0.22988505747126436,22.0
Allium porrum,0.2440944881889764,0.2,0.2198581560283688,310.0
Brassica oleracea var. botrytis,0.17307692307692307,0.2903225806451613,0.21686746987951808,62.0
Phaesolus vulgaris,0.1329479768786127,0.4423076923076923,0.20444444444444446,52.0
Cichorium endivia,0.12280701754385964,0.5384615384615384,0.2,13.0
Brassica rapa,0.1206896551724138,0.4827586206896552,0.19310344827586207,29.0
Allium sativum,0.12643678160919541,0.4074074074074074,0.19298245614035087,27.0
Cucumis sativus,0.14285714285714285,0.25,0.18181818181818182,52.0
Prunus domestica,0.11458333333333333,0.3142857142857143,0.16793893129770993,35.0
Cucurbita pepo,0.13008130081300814,0.1797752808988764,0.1509433962264151,178.0
Ficus carica,0.07446808510638298,0.4666666666666667,0.12844036697247707,30.0
Brassica oleracea var. italica,0.07547169811320754,0.26666666666666666,0.11764705882352941,15.0
Cucurbita sp.,0.045871559633027525,0.15625,0.07092198581560284,32.0
Ipomoea batatas,0.04,0.16666666666666666,0.06451612903225806,18.0
Salvia rosmarinus,0.037037037037037035,0.08695652173913043,0.05194805194805195,23.0
Thymus vulgaris,0.015384615384615385,0.07142857142857142,0.02531645569620253,14.0
Allium ascalonicum,0.007194244604316547,0.05555555555555555,0.012738853503184714,18.0
Rubus idaeus,0.0,0.0,0.0,11.0
